"ORIGIN_STYLE","REPLACE_STYLE"
MNL17,BM270
AMU143,CS64
DTP1,BM94
PAU4,CN39
BC82,IA24
EF88,EF94
EF99,KSABRC115
AP28,PRLPE14
BC73,EJ7
EJ107,YA110
JE78,PR62
BM350,AHHNB19
VD11,CV47
KM3,BM264
CR24,NC34
YK60,MNL222
YK60,NK108
GV24,PG23
KS74,SBL18
VW26,VW41
HL151,SW10
EF90,CLO50
EF90,MNL136
NK15,RED11
CLVHNB33,EJ183
MSGM41,FZ14
DVF108,KS69
STS27,LKL25
JG30,EF40
SAL38,TT162
KSAPE91,ELCPE46
YK13,SH229
AMU8,LAP11
NLS67,CMO25
SW284,RR93
LSS17,SW312
TR38,OS6
CLVHNB24,FCHNB1
SW163,JS121
MW49,HA160
LAP14,GC12
BM160,HA158
JS20,BM140
MNL51,SW64
LR44,TA31
SU24,WVG14
BM347,PPL1
BM187,BM340
KS113,KS129
EQ46,TNT27
CRLPE1,WDHNB6
BM422,PK148
BM298,NK64
NM361,OC54
AP17,CAS33
NK40,SW14
PKB1,ADE19
JE18,GRL13
ELCPE24,EJNK1
DL173,CVN64
OC40,JS30
JG58,MNL95
PRLPE25,SWAPE87
SW335,AMR12
LAP13,NLS21
AMU15,LDT7
ADP33,CN52
MNY2,DL143
PK239,CUP6
HB1,DTP8
JS95,EJ144
JS84,OS24
BDK1,BDK24
EJ108,NM201
BM278,EF63
DNAPE6,LFPE94
NC33,VW39
DVFAHNB1,MNL53
NM182,SH130
RBMKHNB37,DNJPE30
RBMKHNB37,BOUPE3
HL124,HL160
DVFAHNB3,TYBAHNB68
RBMKHNB25,TB126
JS10,SA68
MNL202,MNL69
EJ51,BC156
MN119,BM418
MN119,HTC1
JS88,UNW6
NLS22,NTC2
BC94,BC43
MN140,BM309
MN140,YA111
CAS18,NLS78
TT151,TB177
YB18,KS47
BM250,HA148
PPC25,AX72
SWPE16,ABPE54
TH48,PRP1
ALC19,ML209
TT163,NL54
ALD54,ASI11
CAS18,HP87
BDMNK1,KSANK85
BDMNK1,BM279
RT50,EJ198
SW349,SH234
DVF160,SPL10
MNL223,MNL125
CO15,PK54
SBAHNB15,AIHNB22
MNL67,NK55
SW353,BM347
MNL95,MNL233
EJ109,PK86
VD21,PR59
JS84,JS45
SAL30,MAR14
TT51,HB8
GJNK19,KSNK68
MRAHNB11,YK50
MNL167,NLS69
PRP1,TT265
MNL173,BC163
MNL48,BC80
HL87,RR93
BL18,SUM8
DVF107,AMR4
PAU4,MN63
DVF231,TT301
NK7,JR7
BC47,HA244
EJ23,SH69
ELT23,LAP10
BM180,RAO13
DL31,DVF113
JS14,BM151
NM169,JS14
NK20,NM193
MN107,NM200
JS33,YB1
MNL50,BM254
EF23,JE7
DVF139,JWG14
CD35,NR42
EJ111,BM366
DVF191,AX102
CELSSG3,AHHNB37
ML206,NM167
DRD2,PK154
HA159,BM82
TB192,BM412
KJLPE19,PRLPE2
LRHHNB27,LRHNB5
HA59,DK1
YB42,MNL96
BM477,JG88
SH159,PG23
YA107,AX54
BM292,MN111
CAS31,LAP38
PRLPE39,KSAPE160
TT17,VIN1
MN8,RY24
HA256,NM189
NM118,BC53
HL171,RA13
MNL96,NM261
EJ69,PK165
CLVHNB24,SB32
JE65,WVG14
BC105,BC46
TH33,GNYHNB4
BDMNK1,PPR1
HA270,NK21
TH71,TT287
EF76,CVN2
JS12,MN140
MNL54,MNL2
KS124,RM8
CR34,TT87
DL155,HA333
DL23,VD11
DVFAHNB8,INGHNB8
MNL28,TT66
HA157,HA170
LP54,YB18
BM273,ADP72
NK103,LFBRC91
MNL98,MNL207
SH87,NK72
TB184,CVN72
BM207,SW117
BC76,BM365
WDHNB12,TA103
DJ21,SW420
IA18,CLO53
HA175,SW115
SWNK12,MJNK22
MNL90,BM239
WVG32,TNT1
BM336,NK50
BC91,JG30
SW348,PK99
SRHNB14,DVFAHNB7
TB120,RT54
JS45,BM364
JE57,DL116
BM228,ELQ2
JS92,EJ153
EF129,HTC7
JS96,GA23
SW119,MN122
JG32,HL181
EUG12,SMY6
NM165,BM218
HL160,HL144
DTP21,CED25
VLV9,MN62
SH37,DM33
SB39,RT66
BM241,DTP7
BDMPE16,SWPE10
NK23,BM250
NM200,MN128
BM168,NK22
AX33,NM268
CN6,SW150
CN27,KU32
SW115,BM524
HA159,FP36
JS77,MNL166
EJ71,KS52
SH154,PPC3
YB18,MH10
CAS38,NLS15
SW112,NK73
RA19,EJ59
DLM60,JLSN1
SLN12,CAS19
EJ7,BM92
MAR38,MAR18
PRLPE35,LZPE4
CEL18,HTC32
MNL195,SWAPE44
TKA1,AMR25
NK122,CO46
TR37,NM284
BM347,KSAPE10
EJ43,CR6
PRLPE3,LFPE27
NM172,NM115
NMK1,VLV10
RY24,CN12
SH159,DTP1
CR97,SH124
LRHNB12,AHHNB13
AP33,MN38
KU11,KU27
NM165,NK5
JS14,MGN4
FP9,PK87
NK104,BM179
HA131,CV21
BC100,JS27
BC76,BM271
TYB51,AMR34
LSS27,DM33
NLS44,FK24
VD11,DLM27
SH159,DVF158
CR108,HA327
MQ4,AP19
STS4,BM347
KSHNB21,LMHNB13
NM261,PG38
ALC19,RT156
CED43,CUP25
CR14,HL166
SH159,MAH5
NMK1,NMK13
BDK64,VIN83
BC63,TA27
NTC1,AX81
ML106,BC88
ADKNK6,KSNK50
HA199,TE55
AMU43,INT11
MO86,CN14
TB204,MH10
BC81,ML109
SLN17,AQ3
TB140,GEN2
LSS24,DL60
DVF47,EF140
KSAPE38,TA76
STS51,JS114
TA15,LAP14
ET28,TLR4
ABNK117,NLS15
LAP6,TA54
CR27,YB7
HHAHNB2,KTHNB13
LKL34,LKL36
BM154,MGLPE10
GJPE23,RED17
NCMPE1,EBMPE20
CMKBRC22,AVMBRC7
MJPE12,NK44
BC93,LVF6
HA129,NM204
DVF64,DL49
EJ83,JOA10
VD17,TNT50
BM424,BM406
DL27,KSAPE119
WVG3,TLA1
MJPE1,EDPE2
ODLRPE7,CN86
KU15,MNL171
ELCPE45,CLVHNB2
MNL103,BM408
JG40,DNJPE21
MNL98,BM336
MNL126,LAP49
PK76,JE7
PK28,HL151
VW48,MN131
FP36,BM410
RZ8,PK65
TA75,EJ109
NM172,EJ144
MAR4,DLM7
CA14,BP33
TT192,MN135
DSQ8,PK80
SA82,NK43
CMKBRC17,CRABRC23
PK282,TT283
CO50,NMK3
BM125,ABNK81
ALD56,KPL1
DVF155,SCS41
KU19,ADP57
LP49,YB31
TNT68,TE76
BM125,BM232
TH58,TB184
RY25,TR45
VIN2,LKB9
ELQ30,YB26
KJLNK55,KSANK128
RT77,VD1
TT201,RT163
JOA16,JOA1
TA118,BM484
BC105,PG21
HA306,KF44
KSNK19,BM166
MNL11,SH96
TB140,SW421
GA16,CD22
SW336,BM350
MN19,GC7
SB68,KPL37
YA58,NK11
PK161,RAO12
BM165,HL205
ML210,SH240
PPR6,BM426
MNL45,MNL6
PK60,ML116
ELT42,KS158
JG34,JG20
EJ88,CR88
BM410,CN78
HA267,SB53
SDL2,AMR23
EF91,LR44
JG19,BM409
KTHNB3,LFBRC67
SAL13,HTC8
BM163,HL165
RRY3,HA176
LAP60,AID6
BM263,EJ80
MN12,SH115
LP60,NM259
HTC26,CMO16
JOA48,PAP3
EUG11,DL155
ML110,KS56
ML148,PR67
KSNK31,KSNK61
DL21,TYB48
BC90,VW41
KS39,HA156
MNL64,MNL113
PRLNK7,KSNK62
MN11,NM129
CR19,MNL75
CN35,CE1
BM250,MQ9
TT44,TK28
MNL119,TA58
JS24,RM11
EF144,TB136
SW377,LSS25
CD31,LFBRC6
TH34,EF109
KS53,FP23
KP6,CMO12
EQ50,TT181
YA104,DVF47
SW342,MNL96
DM26,CN18
BM343,BM102
HA140,HA60
RA8,HL170
BM365,NM184
PK71,RM1
NK39,LMC8
WDHNB12,TYBAHNB96
TA72,HL210
CE3,LKL58
JS73,BM250
RT16,HA151
LP96,SW481
MNL119,MNL3
HL93,HM43
ADP17,ADP14
CN35,OC15
ODLRPE121,ODLRPE120
PK94,EJ52
TYB30,TT162
OS11,CD30
SLR17,DL51
CO35,AF28
NK104,ELT16
DM31,BM293
JE14,RM20
HA329,TA53
MSGM61,MNL168
KS81,NK29
TT165,MNL222
SH116,BM284
TA51,MN64
TA51,BM466
SH63,OC40
DLM14,DL67
BC106,JS45
VIN16,SAS11
BM293,RSG2
EJ177,RBMKHNB85
ASR6,TB194
BM469,BSH11
HA59,JS12
ALC47,SAL16
BC90,BM92
TGR7,DLF12
AMU53,RM137
TA71,PPR5
KSRNG3,LSRNG11
CR33,HAN1
BAMBRC6,KJLBRC97
JS88,LSS9
GC2,MNL41
KU10,BM327
SAS6,BSH7
AMR11,SLR21
BM263,LAP44
JG59,JG58
CP12,MN60
CAS21,MN40
CY4,CR18
IA5,ZS32
JSC6,JS77
JS47,HA171
BC46,JS10
PK171,DL78
BM356,MOP16
TB137,BM239
TYB15,JE25
TT60,EJ22
GC6,OC38
LAP60,BM422
GV15,TNT3
SW6,TA45
JG34,EJ147
KS57,NLS15
ML110,ELT15
JS30,BM306
MNL196,EF63
HA199,BM410
SH151,BM486
VIN3,MNL109
FP9,FK1
CE3,STO10
RKB1,JS13
BM162,MNL168
JS15,TT104
NRAHNB4,NRAHNB9
EJ32,EJ44
BM432,HA190
YA65,CLO2
BM228,ELQ11
TT72,TT162
PPC13,JLSN4
NC82,YA112
BC156,KNZ9
DVF209,RM96
SWAPE194,JSN17
SW335,KP61
VD7,RM39
HA143,MN40
MO60,BP38
TB192,SW134
WVG50,BM527
CLO66,ML150
CLO38,HBT1
TT176,TB214
ABPE43,KJLPE120
AMU43,HP89
JS92,CT18
AX26,DL21
DL112,NM332
MN10,LAP15
CLO57,GO3
BM221,BM217
MNL11,BM238
PRLPE12,CRAPE6
NM258,BM346
TT52,TT32
VW39,TE69
TYB16,PK91
GWBPE9,ABPE139
NK11,BM263
BM48,NM257
TB233,SCS36
ANR23,TFL18
CN47,YB1
BM286,MNL3
SH154,CUP22
KJLPE10,BAMPE8
LOPE2,KJLPE136
MNL,LR76
TA117,TA73
CT18,JG36
CO60,CAS25
ZACHNB6,ZACHNB21
SW137,ODLRPE149
SW163,DVF77
SH113,CR94
MNR30,RM71
SH211,MN130
PRLPE3,LFPE24
KS113,NK68
RR90,SH250
TLA2,CV51
KDSPE45,DVFAHNB33
KDSPE45,DNJPE61
EMAPE13,EJPE7
NM256,NM258
LKL5,WDHNB4
EQ43,EQ64
TA113,CVN52
TYB81,SW120
CE8,TA109
NM155,BM125
AAD10,RP3
FRNHNB6,WDHNB4
CAS20,TA71
TA4,BM316
LFBRC2,JG59
LFBRC2,BL41
SU28,SW299
TT188,SH215
SAL33,HB52
BM250,EJ156
OCAHNB13,PK214
HA282,LAP9
NK20,MNL40
AQ23,TT94
NLS22,SW150
MNL90,LR64
MQ4,SH101
BM125,BM290
HA138,IA23
SW287,DTP11
BBC31,LP90
HL162,CL12
ELT23,YA110
STS1,SW10
HA199,CED33
BC76,LKL32
NM120,AD18
MN20,HL161
EJ45,BM273
VIN67,JG81
EJ30,CO28
TYB33,AQ3
MQ6,BP36
BC57,BM250
YB18,LKB6
TA30,CN63
HL160,LFNK36
FP101,KS69
CO48,NM178
TRT1,JE28
KSBRC14,LFPE84
BM403,TA51
JG60,RED25
ANHPE23,SWAPE13
MNL118,ALD2
JG21,MN23
EJ42,YB6
MN32,SLR23
SW62,BM53
TA57,SH207
MN53,MNL169
SW130,NK63
BC74,JG55
BL48,GA14
SWAPE137,KSAPE83
MN115,LAP13
TT140,MRW19
SA70,BC92
TA15,NK38
DSQ1,BM179
CS38,TA37
RED67,EQ81
DVF169,HB65
SAS6,TB170
LP53,BM208
MN29,MN10
JW11,EF124
FZ11,KPL11
ET3,CN24
EMAPE5,NM205
DVFAHNB11,ZACHNB60
SW115,TA117
AMR24,RM73
BM481,MQ16
AMU47,EQ62
JE51,PK89
JE51,SK2
HA59,STS1
PG29,HP84
KP2,OC23
TH63,EQ52
OMR2,BM456
RT84,ML248
CY1,BM215
MN67,BM289
BM289,BM166
BM110,CD5
BM110,RJGBRC14
JS31,SW144
SU12,HB50
LRHHNB18,CLVHNB39
JS52,RAO12
SA62,CS39
MNL166,TA127
CE3,HP86
CS50,HL166
NMK1,MNL231
JS10,PRLBRC46
ABNK80,ABNK81
ABNK80,NTNK23
JE49,JG62
DVF170,RAO51
LSH1,TNT15
DVF64,JE25
IN3,MNL11
TYB62,TNT27
KPL18,WVG64
HP74,MNL231
KSHNB26,INGHNB3
NK102,MJNK19
CAS17,EVD4
SWANK52,SWANK70
ML206,TT173
SBAHNB4,AMR13
BM483,TA53
CO20,KSAHNB28
DL118,EJ201
HA243,MAC2
TW3,JE19
BM152,PK86
TR49,SH222
SA70,TBD2
EJ111,BM48
BM316,TA49
ML193,OC46
SAL2,SLR17
LR63,TR49
JW30,FRLHNB10
BSH26,SH226
BM179,BM524
DLM48,RM91
SB18,JOA2
LVD4,LRHHNB25
KP6,JSN19
PR81,CVN56
EJ38,CR31
TA10,BM299
PG33,HL209
KS17,BC92
TR38,MNL34
JS37,HP89
TA27,BM261
MNL83,SJC1
JS73,NM211
RM6,TB177
PK50,GEN11
CS37,RT48
BM299,JG41
SA110,DVF218
NRAHNB4,MJPE15
DVF210,ML235
AP8,JS85
AP8,HA173
CN49,MNL53
SAN1,EQ54
BM110,BM112
MTHNB2,SWAPE34
JE51,HTC13
BM293,HA165
CT30,AX63
EJHHNB37,RT113
AID7,JS73
MNL53,VW11
PA7,AP12
SW309,NM137
CD6,NM201
BM155,CR12
TA118,LAP38
TA118,YA99
JS86,NM263
CN14,MNL179
MB10,NTC1
TB119,SA94
ACL5,SCS39
EQ61,EQ55
AID10,JS95
LKL33,GV14
SWAPE63,SWAPE114
RM50,NM313
TA41,TA55
HA282,JW6
NC87,MNL217
NC60,GC8
EF180,BM293
BM102,BM125
LKL48,EF145
TLR1,HA180
PH35,TR58
BL35,RT93
EJ166,RED42
MB9,RZ2
OS36,NM324
EF71,NK37
TNT29,BSH3
HM44,RM31
VR8,NK50
SA44,NM216
JS37,CR36
BM354,YA109
SWANK27,JS71
LR71,RA23
BM179,DVFAHNB33
JJ3,BM280
HA327,CUP20
EJHPE52,SMDPE39
KS126,KPL36
TA129,SW377
FCHNB2,SB27
HA140,YA96
CR11,CV39
LSS25,KM4
JS29,JS76
NM197,MNL116
AP28,BM98
NM165,MNL105
BM364,TA72
YK22,TYBAHNB5
CLO5,MH3
AP24,HTC34
NR59,BU28
DVF155,NK60
SWAPE10,BAMPE72
MNL40,ODLRPE112
TNT17,VIN38
BDMBRC2,KTHNB9
DL2,PR69
SWANK196,LKL68
RED56,DL127
ODLRRNG16,MAURNG1
CAE28,HVF12
SH100,LAP2
RAO10,MN19
SAB2,KS115
ML108,BM171
MAR41,AX77
ABPE34,KJLPE110
BU15,ZA6
MNL17,CN86
KSAPE27,KSPE29
BM225,BM278
BM162,MNL45
KSAHNB72,KSHNB8
JS7,BM311
EF124,KS120
AP15,NK6
OMR2,PK142
YA105,NC71
CR90,CR21
BM348,KS98
PRLPE12,KSAPE12
EJ62,SLN16
MNL167,HL169
CD16,CR22
BM235,BM298
JS92,LAP14
LVF11,TT175
TYB63,NM313
CEL13,AMU141
BM168,MN60
OMR2,VIN19
LMHNB3,BM346
DVF64,WVG18
CR107,NC71
MO44,HA153
ADP60,ADP49
NM168,LVF10
TT89,YK16
EJ69,ODLRPE149
DL78,JLSN12
SW381,HB54
TYBAHNB120,TYBAHNB81
PK60,TB132
TH62,SAL28
TB171,ADE8
SWAPE24,RJGPE36
BM131,SH144
CO37,BM296
CD7,BM162
FZ16,BM459
BC48,NK5
MN66,MN32
MN66,LSS14
CS37,CN43
LAP60,NK55
RZ43,JWG21
BM179,MNL96
NM170,LP63
PK37,SH69
JE14,CVN35
MLAHNB1,SRHNB34
LMHNB3,GA16
JS23,RT142
VW14,BM242
FZ2,TH35
AP19,KF2
YA68,RAO12
SW3,SW107
OC23,ML143
ZACHNB21,FP96
ZACHNB21,TYBAHNB65
SW336,BM454
DVF65,DRW17
PK190,AQ22
CR39,PK87
ABPE16,KDSPE34
TB105,MNL30
RT90,KS71
BC105,HL169
LAP14,BM293
TYB28,SB15
TT184,NTNK32
AHHNB7,RBMKHNB61
TK36,EJ39
CA30,NLS6
AID8,TT220
CA28,NC49
RJGPE30,EDPE47
LRHHNB18,FP96
KS39,MNL62
DVF155,AX60
NRAHNB4,EJHHNB97
JS95,LKL45
TA53,BL30
AMR3,BC163
KS51,DVF104
RZ65,JE41
STS51,EJ155
HA199,NLS18
MRW2,PR85
SW241,RZ33
NK15,RAO27
TLR8,CAE6
LP63,TT239
SW56,MN122
BC113,TA13
YK60,LSPE31
NC71,SA106
JS100,MNL188
BM140,AP26
KJLBRC12,SMDBRC2
RR93,TR47
SWAPE59,SWAPE173
DLM36,SSB2
NM271,HA199
EJ144,BM261
VIV5,CN18
ADP36,LMC11
EF46,JG41
SB20,CLO62
LMC5,TYB53
JG68,PK248
BC16,SH81
TR44,BC73
GJNK1,GJNK31
EJHHNB29,LZNK38
EJ175,JML15
ZACHNB4,ALSHNB1
RT74,TYB4
BC52,BM160
DCH1,BGT6
BM439,HL181
CN19,ELQ14
RZ36,DVF46
KS40,LDT8
DVF64,HA237
MNL41,TA35
BC68,BM328
BC132,BBC12
SBL18,TB193
DJ6,DJE4
VD13,TLR8
SW423,NLS66
KS34,NL37
YK16,JE100
ADE6,SLN30
LKB10,JS143
SLR21,FP23
LSS11,TYB5
JBN3,YK14
RR6,BDK4
SWAPE34,KSAPE69
TT96,KP66
BH45,INGHNB13
EQ20,LMHNB17
SB38,DJ2
BM293,JYO3
ELT22,KS98
TA69,DVF106
GRL7,ODLRBRC1
KP5,NK71
HA244,MNL112
LKL71,ACL4
KSAPE20,SSB3
TB240,ALC39
RZ35,LP92
MN50,BM168
VIN13,NL60
PK190,YB18
MNL218,TA128
NLS1,CO44
BM131,ML94
ASR5,YK43
LRHHNB19,DRW8
EJ62,YA58
JOA16,RZ37
UF8,BSH14
DVF174,DVF225
HA186,MNL178
TA51,MGN4
TA51,MNL2
TT74,ODLRNK78
TT74,LKL98
CY15,NR41
TNT25,CS75
CO74,LAP38
CV45,HA179
FCHNB3,ZACHNB55
AID9,BM237
STS1,NK50
PRLNK17,LFNK15
ML206,WVG14
KSAPE121,BRA7
NM288,AX42
SW115,BM362
SH93,BM205
BM151,SW143
BM143,HA103
RT141,EJ197
DVF116,KP18
DVF45,PK54
MN139,SU31
TT114,YB23
BM161,BM239
HA243,TB139
SW115,BM347
JG32,CLO59
TT197,SWAPE115
TT197,NL74
CN94,LKL46
AMR4,ML230
LZPE9,EBMPE36
ETKPE15,AMR28
GBA6,DVF67
CO70,DVF135
KS75,MN41
JE14,MAR19
DJ3,ALSHNB11
KPL42,SW431
BM336,BM98
SWAPE77,LFPE76
EJ43,CLO48
EF201,BM179
JE14,RZ50
SH162,P6
RZ22,CLO48
SW145,BM202
JE43,PK213
SLR20,ABR11
BM293,TA32
BM293,TA67
BM79,ML134
VIN3,BMOS5
CS45,RZ3
BL11,DVF106
HTC17,XX86
RY20,TA24
HA199,YA101
CN94,TA58
RT123,KS116
SRHNB5,WDHNB21
AMR13,DL57
YA104,OC43
DLM46,SH217
NRAHNB5,DVF63
CN10,JS22
VU8,HL115
BM170,MN21
AMR11,ADE9
EF86,HL145
VIVA4,TT213
RZ6,MN158
HL130,RVN11
HA183,BC67
TT46,LVF8
AMR28,SA117
MN62,SH167
EJ109,SW145
NM134,SH69
LVF2,RVN11
PK218,MNL127
GJNK10,GJNK31
PPC52,DL171
NL65,TNT3
RBMKHNB37,WDHNB19
JS46,TYB50
SWPE25,ODLRPE119
NK15,MNL30
FK9,SH217
ADP74,MNL240
CSAHNB3,ELCPE43
LMC11,AP29
BM250,CO59
MNL194,OC54
JE9,JOA21
DVF112,DL79
KS107,ASTPE7
NL94,FLTN6
SW116,LKL38
CVN18,NM266
BM224,DM45
DSQ4,NK20
CLO62,FK11
ML206,NM267
SWAPE54,KJLPE3
KS40,BM285
JS89,TT225
BM483,MNL133
BM126,MNL17
BM336,MNL34
ADP57,BM180
MNL98,MNL170
ML101,PK179
YB20,BM435
TT49,EF103
RM29,NM277
RED5,DVF66
JG38,BL60
KDSPE38,ANHPE22
IA27,BM362
HL117,SW97
MNL112,NK6
TH45,EJ152
TNT17,TB191
BP46,ML108
AV2,CS39
MW29,OC38
LAP46,SW150
CR16,EF123
BM226,NK37
KS88,ELQ28
EF134,JS99
CAS54,YK38
HL151,HL48
CAS60,ABBRC124
KGI2,OS15
BM287,MNL116
MNL109,NM261
RAO40,DVF77
EJ68,NM176
KS57,FP35
MV6,CAS17
LKL40,ODLRPE110
SW101,PPR6
MNL136,FP12
HA244,AMU81
MNL51,JS48
MNL42,NK26
NM188,JG30
ET25,JS18
KS82,SAL29
EJ45,EJBRC1
JE19,JS8
CN86,BM347
JG76,JS92
RR95,EF99
ODLRPE57,LFPE24
TAD7,BM272
TB138,EF110
EJ26,NM182
RT16,CR8
LP56,BP33
KPL3,MAR26
VD10,WVG56
BM290,MN59
MH6,MH19
VIN67,DVF144
TT79,BC73
SW118,EF106
EF183,TT123
TA72,SW144
HL170,MO88
TT73,CN39
BM304,CD14
CR27,AMU41
ZACHNB25,TE47
STS2,MV11
BM23,TA27
TNT47,TB226
TJ1,TJ4
SW166,TT251
NRAHNB5,TYBAHNB4
BM155,CR8
CR19,FK2
KJLPE82,NTPE26
AX5,EJ154
NM204,HA191
MW37,MNL83
CO36,HA157
PK71,TB124
DVF65,DVF106
HA192,AP20
TT156,PPR8
ML106,MNL113
MN136,MN155
HA255,AP33
VW41,KSAPE81
ML146,OC53
PPL3,NM289
BM163,MN27
AP19,NLS4
MRW18,TYBAHNB7
TT31,BM317
BM130,CN10
ADP72,TA27
JG37,JW9
MLAHNB3,LRHHNB28
DJ31,SH283
BDK60,DVF126
DVF171,ELCPE41
CE3,LKB4
SW140,SW165
DLM54,JW51
HA121,CE2
JG68,CMO30
BM207,TW8
BM207,MNL96
EJ109,TE58
SH137,TB161
NLS14,JML12
BDK19,ELT2
CMO22,JS82
BM307,BM180
CD33,NK105
JG65,NM253
NK7,NK49
BU6,BC73
LAP13,LAP45
SAN12,TH119
HL138,BM155
ML146,HA187
BM289,DM37
MNL196,BM484
KP18,DAG2
CO58,CP12
BC63,YK10
EJ151,BU28
BC52,BC92
JWG12,AMR4
BBHNB1,PPC29
SA82,MN23
MH14,KSAHNB134
HTC22,BM474
DM58,MNL111
ODLRNK24,BAMNK9
ASR15,NM189
TT105,BU17
BM347,TA102
CR12,NM172
NLS66,ER14
FCHNB3,CV46
HA172,KO11
SLN13,LFNK81
CY4,NL41
JG71,MNL203
JS31,MV13
KS27,LR41
COH6,COH8
BL50,TH37
MSGM63,LP92
KOM23,MN50
RT90,BDK10
KSHNB29,LMHNB4
DJ6,PPC3
BL50,BL60
KSAPE125,LFPE109
NM55,BM110
ADP68,OMR8
MAR37,PPC26
MNL109,EF193
TNT28,JW48
MNL82,MNL120
NK26,KU12
BM127,CS47
BM254,BM237
HB7,RY21
KSAHNB135,SLR38
BL16,ML187
LSS8,CN1
BM102,BM127
BM460,SW390
SU14,TH75
EJ109,YA111
NMK16,JS52
EJHBRC1,EJBRC1
EQ9,BDK9
NM105,TA27
MNL16,ADP5
ASI5,TB211
MNL195,BM162
MG33,LAP56
BM302,BM130
SW347,HTC2
MNL3,MNL168
CRLPE6,BM409
LR52,RA08
MAC4,CR43
JE84,CUP19
BM304,JS16
EOSCF11,ALD7
KS56,TLR3
RJGBRC16,SWABRC8
ZS21,IA19
SA70,MN40
JE50,SW331
LAP18,ML182
TB85,BC88
MNL56,CE9
EJ43,AP11
BM299,TA53
DVF99,MNR12
NRAHNB8,ABBRC72
SW94,NM171
TA43,BM368
VIN12,LAV20
AL8,CRY1
PK147,IA27
PK173,RM40
SH199,MNL168
BM177,BDMHNB7
RZ42,RZ38
EJ76,EJ89
TB185,WVG17
HA195,MN156
BM48,NM165
MNL57,TT197
BM226,CN100
GJPE2,HL186
EJ86,CED25
FRNHNB2,TA76
BP31,PLS20
EJ57,CO28
TH55,MTS15
EJ62,MN111
EJ62,BM428
NK44,EF26
RSHNB3,JR11
HA253,RT93
EJ35,JG22
ADP32,LFPE28
ABPE35,EJPE5
BM226,NC49
BM328,MNL118
EJ108,LAP43
SAN17,TYBAHNB114
NM257,BM377
NM257,BM180
SW425,HA252
EQ6,NL65
GC7,BC71
BC86,JS41
MAC3,SW112
YA67,KSARNG82
LSS27,MNL173
JWG36,SB40
TNT3,SH216
TYB21,DLM44
ASR15,AX5
BM422,BM237
NK25,DM58
FX1,BM277
MNL165,MNL17
LMC11,CN100
EF47,SWAPE12
BL35,RZ34
JML3,KGI4
TYB15,MSGM60
BL62,MNL191
STS5,SW284
CP4,DVF117
HM49,CN95
RY25,CN18
SH88,ML21
EF107,AQ7
HM56,NM92
TB213,DVF126
LAP48,OS32
ELQ26,NM129
TH33,JOA2
ABPE43,NOIPE10
AAD5,NM318
CA30,RZ45
KSAPE156,NTPE13
BM229,KU21
JE9,BL45
EQ32,KNZ2
BM428,BM351
BM457,ELQ26
DVF141,RP4
TA33,IG7
LP59,TT54
EJ112,KZ3
TT79,CN94
CE7,RAO51
DL138,KPL43
VW41,ML100
MNL69,BM138
EMAPE4,KJLPE10
MN9,AP20
NM202,BM354
DLM13,VIVA7
DJE14,ELQ42
BM467,SH213
TYB33,JE128
LSS3,VLV12
VLV7,BM467
KS84,JSN12
RBMKHNB35,FP71
WVG49,SDL2
KSAPE125,KSAPE206
SW79,JE20
CP21,BDK66
NCMPE4,TA53
BM165,BM521
DTP6,TA111
GRL9,JOA17
KS155,KS151
SW118,BM98
SB27,SW169
SH151,TA29
MNL196,BM354
KSAHNB136,ZACHNB70
AP17,PR75
AMU8,TT31
BM139,LAP10
MNL31,LP64
CVN38,MNL201
EJ80,IA27
JS75,CAS53
CN6,MNL3
CST11,EF130
AID7,LAP78
JML2,JML1
BM207,TA127
LVF13,WVG43
TYB6,MTS8
HA311,DK11
SH159,MNL211
BC103,SAL23
WVG42,DVF105
SA65,LR71
PR61,SH157
RM11,DVF125
NLS106,LKL79
NM182,HA122
TH37,SH138
PK58,ALD39
JE85,JWG29
GNYHNB10,YA99
KU12,BM325
CS37,NK60
TT73,TH62
ODLRPE128,ODLRPE97
SWPE27,MNL116
MNL199,CV42
HA138,NM163
BM208,MN63
RT76,DLM24
RT76,DLM38
AMU11,KS156
KSAHNB101,KSAHNB7
RZ40,BM311
MG29,CAS106
HB67,JOA24
YK14,NK34
HA67,MN10
BM478,TA58
SAL34,ALQ5
AHHNB28,EF129
MO70,BU12
SWAPE113,JPPE32
SH125,RZ41
CN10,BM286
MJPE47,APTPE2
HL208,OS28
KPL7,SLN1
EJ39,CR105
LKL65,CR104
BM165,CN86
MNL37,CN75
SW282,LKL28
NCMBRC1,EF130
PK27,CR9
JS11,MN40
SHIHNB6,LRHNB5
EJ161,TKA2
CD33,NLS18
LVF10,MN156
TA51,HB43
ML229,KS157
ASR10,JE8
BMOS5,DL39
BM462,CN43
ES11,RAO10
ML101,MO62
SWAPE137,JPPE32
ZACHNB3,RT75
SWAPE58,SWPE14
SA79,TA15
AP12,BM212
BM126,BM431
MV12,PNK4
TB139,STS24
LP64,DVF53
SBAHNB14,EJHNB28
TT50,NM168
VLV12,BM298
ALD31,BKHNB18
KJLBRC86,ODLRBRC162
LKL40,AX10
SH80,EF54
MNL116,MN52
DVF104,PAP7
LANNK10,ABBRC138
EJ153,EJ109
RAO37,TA57
DL64,RED17
TE68,CN18
JBN3,EJ168
EF76,BM133
